issn,discount,is_flatrate
2753-8796,1,False
1465-6485,1,False
1440-1681,1,False
1471-0153,1,False
0011-3921,1,False
0166-4328,1,False
2324-8386,1,False
1871-1871,0.25,False
1533-8371,1,False
2469-4126,1,False
1477-0849,1,False
0022-3891,1,False
0031-9384,0.25,False
1838-0743,1,False
2212-6287,1,False
1399-0012,1,False
0965-8564,1,False
1365-2486,1,False
1077-3142,0.4,False
1747-7654,1,False
1944-7175,1,False
1039-8562,1,False
2374-3611,1,False
1541-0072,0.25,False
1057-3569,1,False
0958-3157,1,False
0075-8744,0.1,False
0307-5079,1,False
1262-3636,1,False
2167-0811,0.25,False
1099-128X,1,False
1529-7268,0,False
1746-7594,1,False
0166-0462,0.4,False
0893-4215,1,False
1745-8153,0.2,False
1499-2671,1,False
0739-3148,0.4,False
1354-3784,0.25,False
1470-109X,0.2,False
1742-1772,0.25,False
0952-3987,0.25,False
1925-3621,1,False
1365-2419,0.25,False
1476-5284,0.2,False
1532-7701,1,False
1476-7503,1,False
0002-9378,0.25,False
2151-0903,1,False
0305-0068,1,False
1098-2140,0.25,False
0165-0521,0.25,False
0362-028X,1,False
2050-3121,1,False
1871-6784,1,False
1744-9855,0.25,False
1469-2988,1,False
1475-2999,1,False
2689-6583,0.2,False
0214-4603,1,False
1545-083X,1,False
2307-4841,0.25,False
2517-4843,1,False
2642-4169,0.25,False
0894-8453,1,False
1541-0331,1,False
0160-8061,0.25,False
1522-7219,1,False
0001-4575,0.25,False
2365-9920,1,False
1461-6688,1,False
1099-1107,1,False
1549-7828,0.2,False
2666-6596,0.15,False
1548-7458,0.25,False
1558-5727,1,False
2632-1823,1,False
1475-3022,0.25,False
2051-7483,1,False
1066-4807,0.25,False
0312-2417,0.25,False
1097-461X,1,False
2055-6845,1,False
0080-4401,0.25,False
1090-9516,1,False
0002-0729,0.1,False
2754-124X,0.25,False
1743-2812,0.25,False
1944-8961,0.25,False
0148-8376,0.25,False
0091-3022,1,False
0885-0666,0.25,False
1718-4304,1,False
1365-2389,1,False
2095-4816,1,False
0001-9909,0.25,False
0373-4633,1,False
1096-4673,1,False
2633-3287,0.25,False
1471-1842,0.25,False
1097-458X,1,False
2666-1683,1,False
0887-0624,1,False
1464-5327,0.25,False
0090-8258,0.25,False
1502-4725,0.25,False
0897-4454,1,False
2041-3068,1,False
2052-1537,1,False
1754-9981,1,False
1745-6592,1,False
2769-7061,1,False
1619-3997,1,False
2752-7530,0.2,False
2666-5719,0.25,False
2631-4428,1,False
0887-302X,0.25,False
2468-7499,1,False
1476-542X,1,False
2752-9452,0.25,False
1930-0166,0.25,False
1367-5567,1,False
2573-573X,1,False
0736-5853,0.25,False
0143-6244,0.25,False
1552-8308,1,False
1022-0461,1,False
2047-0770,1,False
1053-4512,0.25,False
1047-6210,0.25,False
2052-9449,1,False
1753-8963,0.25,False
1096-0287,0.25,False
0894-4393,1,False
1467-9833,1,False
1744-5027,1,False
1747-9991,1,False
2451-9103,1,False
1521-0693,1,False
0191-2615,0.2,False
1753-0350,0.25,False
2194-573X,0.25,False
2041-4005,0.2,False
2657-4233,1,False
1556-7257,1,False
1525-7770,0.25,False
0926-860X,0.25,False
0009-6407,1,False
1477-4666,1,False
2949-7744,1,False
1043-8599,0.2,False
1057-2317,1,False
2253-8089,1,False
2153-2974,0.25,False
1463-5003,1,False
1612-7056,1,False
1552-6550,0.1,False
2050-8859,1,False
1745-0101,1,False
1755-5345,0.25,False
0167-9236,0.25,False
1867-8319,1,False
1916-2790,1,False
0164-1212,1,False
1547-7215,1,False
0038-0229,0.2,False
1609-4840,0.25,False
1545-6889,0.25,False
1833-3583,1,False
0045-7949,1,False
1460-2059,0.25,False
1467-9671,1,False
1523-0406,0.2,False
1474-0591,0,False
0007-4497,1,False
1477-4747,0.25,False
1744-4179,1,False
0022-474X,0.25,False
0960-3409,1,False
1932-202X,1,False
2590-1982,1,False
1556-0864,1,False
0950-1991,1,False
1092-9126,1,False
2752-6542,0.25,False
0748-0814,0.25,False
1040-0435,0.25,False
1547-7444,0.25,False
2043-6874,1,False
1540-7489,1,False
2055-6640,1,False
1476-2870,0.25,False
1940-2465,1,False
2994-0451,0.25,False
1547-6529,0.2,False
